SSN,Public,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Zr,Mo,Ba,La,Ce,Pr,Nd,Sm,Hf,Ta,W,Hg,Pb,Bi,Th
icr005965,True,16023.3,4433.5,37618.6,84.4,45.7,268.1,12412.2,30705.6,4.4,2168.3,37.0,34.3,356.1,22263.2,0.7,10.4,10.1,25.3,13.0,0.3,885.0,0.2,38.2,403.5,9.1,24.7,184.5,2276.9,667.3,62.3,0.9,14.7,14.0,0.9,2.5,0.2,4.9,3.9,0.1,13.4
icr005966,True,20524.6,5832.2,40248.2,72.1,45.7,229.6,12892.2,23234.5,4.4,2399.4,42.6,38.1,379.7,26269.6,0.7,13.8,11.8,29.4,15.2,0.3,886.3,0.2,48.3,430.6,8.5,24.7,184.5,2377.6,845.4,76.7,1.1,15.8,18.2,0.5,3.2,0.2,4.2,3.3,0.1,19.9
icr005985,True,19350.4,5085.8,36766.3,50.6,45.7,157.3,16839.7,16746.2,4.4,1761.2,30.5,88.3,323.4,22790.2,0.7,42.7,22.1,32.4,13.1,0.3,882.4,0.2,57.3,232.7,5.6,24.7,184.5,2935.5,764.1,73.2,1.2,19.2,14.1,0.8,2.0,1.2,2.6,12.0,0.1,17.9
icr005986,True,17410.2,5271.2,37912.2,50.6,45.7,285.2,16818.0,31939.6,4.4,1768.5,27.3,84.3,332.5,22939.1,0.7,52.3,24.9,34.4,13.7,0.3,885.6,0.2,56.4,251.3,6.4,24.7,184.5,3015.7,742.2,76.3,1.1,16.7,12.6,0.3,1.2,0.5,6.3,10.2,0.1,16.5
icr005998,True,19092.5,9169.8,37359.8,50.6,45.7,251.4,17577.9,25298.2,4.4,2397.6,44.7,60.2,408.3,24985.2,0.7,11.9,13.1,35.4,13.8,0.3,881.7,0.2,60.2,441.8,7.8,23.3,184.5,2069.5,789.5,66.0,1.1,16.7,17.2,0.5,3.2,0.4,4.2,5.6,0.1,18.4
icr005999,True,19400.2,10320.1,41038.2,67.3,45.7,251.3,18143.2,27014.2,4.4,2704.4,49.4,67.6,438.3,28744.5,0.7,12.5,14.3,38.2,15.2,0.3,884.3,0.2,66.8,484.4,8.6,38.1,184.5,2180.8,901.1,70.5,0.7,18.5,20.3,0.7,3.3,0.2,4.7,7.4,0.1,21.7
icr006015,True,22386.6,5575.0,40714.8,50.6,45.7,234.4,20271.8,14624.5,4.4,2094.5,35.4,33.8,355.9,21403.7,0.7,9.1,12.5,26.6,12.6,0.3,885.0,0.2,69.8,290.4,7.4,24.7,184.5,2274.5,701.7,62.4,0.7,11.7,14.6,0.3,3.7,0.8,1.2,7.3,0.1,12.0
icr006016,True,16549.1,5575.0,40376.9,50.6,45.7,153.4,18912.7,13512.0,4.4,2271.7,37.7,34.4,411.3,23566.5,0.7,10.3,13.8,28.4,13.1,0.3,885.0,0.2,72.7,271.4,7.6,24.7,184.5,3014.7,775.3,68.8,0.7,10.3,17.7,0.2,3.3,1.0,1.3,8.9,0.1,15.3
icr006035,True,24322.4,5575.0,33151.3,50.6,45.7,110.3,22447.7,14396.7,4.4,1577.4,28.0,25.9,256.5,14527.0,0.7,5.0,6.1,16.6,11.5,0.3,883.7,0.2,63.5,278.7,6.4,24.7,184.5,2486.5,402.0,36.0,0.7,7.6,9.1,1.4,2.6,0.5,0.4,14.5,0.1,3.2
icr006036,True,21321.9,5575.0,39965.6,50.6,45.7,108.6,22432.9,14900.7,4.4,1964.8,35.0,34.6,324.0,20067.9,0.7,7.9,8.5,21.5,13.8,0.3,885.0,0.2,78.1,288.3,7.1,24.7,184.5,2348.0,604.2,54.2,1.2,8.6,14.1,1.2,3.4,1.0,1.1,11.2,0.1,8.8
icr006055,True,20870.3,8496.6,40296.7,50.6,45.7,213.0,24017.9,11253.1,4.4,2203.7,36.2,129.9,396.3,25257.5,0.7,52.4,13.6,34.8,14.1,0.3,885.0,0.2,100.0,276.4,6.9,24.7,184.5,3146.3,877.0,78.3,1.7,26.6,15.7,0.2,2.6,2.3,1.0,12.2,0.1,17.3
icr006056,True,18305.7,8407.1,43714.5,50.6,45.7,242.1,24540.7,12111.4,4.4,2318.7,37.3,116.9,383.7,25806.5,0.7,51.7,14.5,32.9,13.6,0.3,881.7,0.2,97.5,264.5,7.3,24.7,184.5,3196.1,893.2,78.9,1.2,24.2,16.4,0.3,2.6,2.4,1.2,10.6,0.1,17.5
icr006076,True,18033.4,8416.2,41403.6,50.6,45.7,335.2,21152.7,22336.1,4.4,2652.3,43.0,23.2,475.0,28302.2,0.7,5.7,15.0,47.3,13.0,0.3,881.7,0.2,83.7,413.4,8.9,24.7,184.5,2424.4,898.8,80.3,0.8,12.8,21.3,0.5,3.6,1.0,3.9,10.3,0.1,23.1
icr006077,True,17615.0,12855.0,46209.6,57.8,45.7,434.0,24575.3,23092.8,4.4,2984.3,46.2,25.0,523.3,32121.7,0.7,6.7,16.8,54.7,14.2,0.3,881.7,0.2,99.3,451.1,8.6,24.7,184.5,3321.6,1062.8,96.9,0.9,19.1,23.8,0.8,4.3,1.5,4.3,15.5,0.1,28.9
icr006085,True,21831.1,5042.2,41527.2,50.6,45.7,178.9,21611.7,20528.0,4.4,2095.2,31.9,29.6,473.7,19918.6,0.7,5.7,11.0,29.2,14.1,0.3,881.7,0.2,81.5,293.0,12.2,24.7,184.5,1918.8,562.4,52.4,0.9,8.9,13.3,2.3,3.0,0.4,1.8,16.7,0.1,9.7
icr006086,True,22213.3,5289.6,40208.6,50.6,45.7,279.5,23006.9,20588.2,4.4,2107.3,34.3,28.6,417.0,20746.4,0.7,6.1,11.2,30.7,13.5,0.3,889.5,0.2,80.7,336.8,14.1,24.7,184.5,2622.2,592.6,52.1,0.7,8.6,13.6,1.6,3.1,0.6,1.9,12.7,0.1,9.2
icr006101,True,19246.8,5428.6,46385.9,50.6,45.7,180.1,22718.3,18538.4,4.4,2060.2,35.3,36.4,371.8,25069.1,0.7,10.2,11.0,29.2,14.5,0.3,882.4,0.2,78.0,330.8,7.6,24.7,184.5,2920.3,757.1,68.5,0.7,14.2,18.3,0.8,3.3,1.0,2.1,9.8,0.1,14.3
