SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr006475,True,0.053,2.56,2.744241033,1095.0,0.3337,207.1,1.315,153.7,306.3,89.5,9.266,42.71,4.495,18.96,2.825,4.682,67.05249534
icr006586,True,0.193,0.59,16.79775329,1165.0,0.7899,1665.0,2.814,126.8,1186.0,636.7,254.7,40.83,12.51,13.6,1.952,7.062,30.42055227
icr007929,True,0.305,0.19,16.50361899,727.6,0.6142,2518.0,0.2496,260.4,72.57,428.5,35.82,42.94,21.09,14.81,2.742,7.114,60.50616313
icr008008,True,0.053,0.48,6.3027752,1458.0,0.3603,734.3,1.369,134.1,274.6,222.5,29.11,20.73,109.2,11.4,0.98,5.65,51.4701435
icr010198,True,0.032,1.05,2.390303016,2166.0,0.01,261.8,1.686,97.49,91.76,76.5,375.2,49.31,3.958,5.2810000000000015,1.258,5.501,247.6265331
icr010375,True,0.055,0.66,7.3273081310000014,800.0,0.09,945.0,1.5,211.0,109.0,258.0,83.0,44.0,2.43,7.0,1.31,6.42,30.81
icr010707,True,0.131,0.47,11.7290535,611.0,0.31,1770.0,1.99,214.0,74.0,306.0,57.0,37.0,7.8,7.0,1.41,7.12,19.09
icr010787,True,0.099,0.66,15.64910465,1673.0,0.12,1858.0,2.54,204.0,124.0,669.0,22.0,118.0,4.31,26.0,1.85,6.68,93.0
icr011882,True,0.029,1.632,1.18580588,382.1,0.0151,150.4,0.2186,96.86,37.33,36.94,13.38,7.6,6.402,3.577,0.444,5.697,0.984884224
icr011961,True,0.212,0.768,7.560980385,338.8,0.3977,1020.0,1.036,168.0,279.9,179.6,40.07,59.99,43.69,9.571,2.904,8.097000000000001,-13.6494124
icr014863,True,0.09,0.679,15.50569677,728.5,0.2327,2057.0,2.231,289.2,78.15,580.4,88.95,51.55,66.0,15.96,1.872,6.3210000000000015,28.51106716
icr014943,True,0.04,1.261,3.918127423,910.7,0.101,523.3,2.209,197.3,121.5,113.4,66.33,12.35,43.08,6.5070000000000014,1.013,5.811,92.34516298
icr015593,True,0.019,0.38,2.620349115,628.3,0.0341,380.0,0.5886,236.4,20.32,56.09,26.56,47.11,2.272,4.998,1.452,5.447,114.18148870000002
icr015673,True,0.035,0.19,1.314741688,269.5,0.012,170.2,0.2078,80.85,21.03,16.94,1.405,62.09,6.905,4.664,0.742,4.675,61.50219343
icr015972,True,0.205,0.285,10.20093333,517.9,1.029,1535.0,2.211,119.2,85.82,269.0,278.8,19.16,6.01,14.11,3.981,7.198,130.4100021
icr016052,True,0.179,0.095,9.386769462,860.4,1.092,1277.0,3.922,107.5,159.2,302.4,258.7,21.95,3.385,10.3,4.015,6.174,57.38629952
icr021104,True,0.04,0.5760000000000001,2.007267538,441.4,0.0447,258.7,0.6028,141.2,35.25,58.37,5.847,32.48,4.424,3.608,1.149,5.522,-100.551694
icr023137,True,0.05,0.15,2.273887574,527.0,0.13,269.0,0.56,222.0,45.0,89.0,152.0,18.0,39.41,5.0,1.02,6.15,28.89
icr023453,True,0.045,0.2,9.083002579,610.0,0.19,1057.0,0.99,76.0,127.0,405.0,45.0,29.0,11.74,6.0,2.28,6.12,24.47
icr023533,True,0.03,0.1,2.789569339,224.0,0.13,393.0,0.32,33.0,27.0,83.0,65.0,16.0,12.2,3.0,2.5,6.63,4.5
icr024938,True,0.02,0.1,2.103110693,375.0,0.02,214.0,0.33,68.0,48.0,97.0,24.0,25.0,4.59,3.0,2.08,5.83,-1.8
icr025010,True,0.021,0.49,1.615761768,537.0,0.01,131.0,0.41,131.0,51.0,91.0,55.0,18.0,3.66,4.0,2.15,5.47,42.65
icr030164,True,0.067,0.194,37.48134404,1008.0,0.109,5620.98,2.627,229.5,245.24,1017.98,70.53,77.32,8.061,8.312999999999999,0.359,5.4110000000000005,61.81399999999999
icr030239,True,0.073,0.097,17.43671793,1553.0,0.314,2842.98,2.647,58.83,109.44,338.38,161.8,33.44,3.272,12.848,0.32299999999999995,5.648,25.551
icr011202,True,0.051,0.564,4.871884973999999,705.0,0.097,694.0,0.883,81.3,74.0,126.0,76.2,39.4,0.888,4.9,1.06,6.89,58.8
icr011281,True,0.056,0.564,4.738429963,632.0,0.08199999999999999,684.0,1.04,79.3,123.0,104.0,68.0,33.2,5.93,4.85,2.37,6.55,11.6
icr014629,True,0.049,1.164,4.714795766,1588.0,0.0654,576.9,0.7651,62.32,172.5,154.2,57.65,26.39,1.382,5.6160000000000005,0.745,5.954,95.68816304
icr014709,True,0.049,1.455,3.0299576310000003,1533.0,0.1327,266.7,1.217,91.11,119.6,160.1,118.3,15.51,2.121,7.474,1.295,5.914,96.61377631
icr030532,True,2.83,0.388,63.50424352,19.36,3.878,8377.0,2.984,35.31,5047.0,934.7,127.9,226.9,382.7,231.2,16.99,8.079,74.27
icr033622,True,0.225,0.23,71.76283992,108.286,1.3030000000000002,11858.3,2.701,25.63,1156.0,1111.0,66.65,76.59,31.233,25.46,1.539,8.583,79.553
icr006121,True,0.106,0.18,5.586199784,624.7,0.3992,633.0,0.7759,75.76,243.1,200.8,87.34,32.19,7.957000000000002,11.38,1.501,7.081,-7.573208562
icr006570,True,0.14800000000000002,0.36,8.296061466,1151.0,0.5928,896.2,2.247,70.46,607.3,252.7,151.8,39.89,5.9860000000000015,20.08,2.326,6.6610000000000005,12.10037601
icr015257,True,0.022,0.19,7.620004988,625.7,0.223,1218.0,2.097,96.49,58.53,159.4,117.3,14.48,14.0,3.3960000000000004,1.082,6.718,63.0084127
icr015336,True,0.152,0.095,35.6042335,533.2,1.673,5855.0,3.804,163.2,447.6,616.6,138.4,20.38,362.7,12.35,16.37,8.286,70.33008562
icr034190,True,0.044,0.048,5.232758425,503.1,0.192,695.27,0.51,82.47,92.8,165.41,109.3,34.97,9.342,8.991,0.6409999999999999,6.7070000000000025,0.205
icr034302,True,0.117,0.14400000000000002,5.502861311,436.941,0.136,754.3,1.079,75.13,196.533,124.333,166.1,46.27,18.54,6.164,3.03,6.971,17.651
icr034614,True,0.08199999999999999,1.536,3.006872979,1142.94,0.13699999999999998,406.7,1.337,227.9,44.863,84.803,12.57,36.29,3.019,15.027,0.779,4.511,92.74
icr034694,True,0.132,1.663,1.5671629219999998,876.941,0.075,170.0,0.858,421.1,63.303,51.683,6.968,29.47,5.276,19.947,1.43,3.941,75.696
icr038155,True,0.113,0.096,37.9971046,973.5,0.517,5388.1,1.275,189.0,444.691,1169.0,117.6,59.37,20.21,9.611,2.4330000000000003,6.349,126.39
icr038251,True,0.313,0.192,46.05159704,1044.0,0.314,5967.1,5.09,427.5,123.191,1884.0,149.4,76.08,7.241,24.421,3.0980000000000003,5.541,227.161
icr048566,True,0.105,0.32,15.4332261,958.0,0.34,1880.0,8.48,236.0,260.0,606.0,86.6,82.8,5.08,23.0,1.86,5.86,91.7
icr048642,True,0.128,0.46,17.81082243,1170.0,0.49,2450.0,9.72,149.0,162.0,599.0,120.0,45.1,3.0,18.4,1.78,5.72,162.0
icr049101,True,0.085,0.29,9.91096616,330.0,0.39,1370.0,0.97,52.3,264.0,276.0,80.7,24.1,12.3,4.42,0.82,8.57,14.2
icr049157,True,0.118,0.19,18.6968073,403.0,0.55,3080.0,2.26,57.5,304.0,293.0,124.0,22.5,22.3,13.6,1.67,8.44,41.1
icr049317,True,0.053,0.18,2.78397582,318.0,0.24,392.0,0.47,35.0,49.0,73.7,206.0,20.6,7.71,3.56,1.22,6.5,-4.46
icr049318,True,0.03,0.18,1.135504851,422.0,0.001,140.0,0.42,40.1,39.1,31.6,161.0,17.1,3.19,3.14,0.32,6.2,7.52
icr049337,True,0.045,0.27,1.899315593,464.0,0.001,270.0,0.48,37.2,51.3,43.7,158.0,13.1,17.7,5.92,1.29,6.26,-2.45
icr049338,True,0.016,0.37,1.4729669630000002,467.0,0.001,212.0,0.38,32.9,25.9,32.8,72.5,17.4,9.13,4.55,0.75,5.7,6.41
icr049357,True,0.102,0.37,1.859272896,343.0,0.001,248.0,0.32,38.2,33.8,48.9,141.0,29.6,9.64,6.36,1.22,6.06,1.39
icr049358,True,0.025,0.13,0.8490211790000001,433.0,0.001,112.0,0.36,36.0,18.3,24.4,88.1,9.33,5.09,3.62,0.36,5.66,21.3
icr049377,True,0.11,0.23,4.739113631,418.0,0.41,781.0,0.55,37.8,50.9,78.6,204.0,12.5,30.2,6.58,1.57,7.19,4.35
icr049378,True,0.038,0.18,1.90867441,414.0,0.001,273.0,0.29,35.0,41.7,43.2,102.0,18.4,4.3,4.73,0.31,6.6,10.6
icr049397,True,0.028,0.23,0.951908393,189.0,0.001,156.0,0.001,29.4,5.5,16.5,42.0,4.94,3.55,3.46,0.37,6.01,0.86
icr049398,True,0.047,0.18,3.848057851,232.0,0.001,581.0,0.37,32.1,28.9,76.6,149.0,54.3,12.2,6.85,2.06,6.61,4.97
icr049417,True,0.091,0.27,1.80242544,308.0,0.001,238.0,0.24,37.9,23.8,45.8,115.0,39.8,10.6,6.34,1.64,6.05,16.0
icr049418,True,0.03,0.32,0.7924177459999999,398.0,0.001,99.2,0.36,33.8,4.17,28.0,56.4,12.5,3.01,5.34,0.48,5.25,20.7
icr049437,True,0.043,0.13,0.992868783,226.0,0.001,125.0,0.28,88.2,14.1,31.1,201.0,17.2,2.79,5.95,0.75,5.7,14.5
icr049438,True,0.027000000000000003,0.32,0.5160496179999999,252.0,0.001,59.7,0.2,40.4,1.28,16.3,51.8,18.3,1.58,5.82,0.41,5.04,15.6
icr049796,True,0.055,0.14,2.318052673,301.0,0.001,290.0,0.31,193.0,15.9,71.6,1.87,54.2,15.6,4.94,0.87,5.74,10.4
icr050195,True,0.04,0.19,3.712127412,664.0,0.001,406.0,0.7,82.4,63.5,165.0,15.2,35.9,3.93,4.69,0.001,5.4,40.6
icr054201,True,0.152,0.61,6.38731183,775.0,0.001,780.0,0.36,782.0,196.0,227.0,383.0,25.3,7.39,30.7,3.23,5.37,121.0
icr054277,True,0.13,0.95,5.235057703,781.0,0.001,651.0,1.4,494.0,106.0,194.0,30.7,24.3,16.8,14.6,6.59,4.87,62.2
icr054505,True,0.205,0.23,14.8558517,1380.0,0.28,1920.0,2.77,154.0,172.0,568.0,148.0,28.0,19.1,21.0,1.53,5.31,205.0
icr054565,True,0.061,0.095,12.80518886,1060.0,0.001,1820.0,3.23,130.0,90.7,412.0,450.0,15.7,1.41,7.64,2.71,6.01,150.0
icr055704,True,0.015,0.19,1.834825094,686.0,0.001,258.0,0.9,220.0,49.2,34.6,3.57,30.6,4.64,5.95,0.42,5.3,71.7
icr055783,True,0.015,1.15,1.313879753,745.0,0.001,113.0,0.001,70.4,80.6,49.1,2.78,31.5,2.89,5.54,0.72,4.95,51.0
icr056101,True,0.036000000000000004,0.19,2.926826319,1110.0,0.001,370.0,7.16,95.9,103.0,86.9,46.4,21.9,32.1,10.4,1.74,6.14,46.3
icr056181,True,0.023,0.24,2.677100463,1260.0,0.001,338.0,6.51,66.9,78.8,84.9,37.9,19.3,11.0,10.8,1.65,5.79,69.2
icr056461,True,0.227,0.19,38.50729725,419.0,0.67,7130.0,2.78,71.7,158.0,287.0,240.0,18.7,19.3,11.9,1.75,7.71,41.5
icr075697,True,0.14400000000000002,0.14,4.648784638,223.0,0.001,490.0,0.26,106.0,137.0,63.2,6.24,305.0,2.06,13.4,0.56,7.95,16.8
icr049068,True,0.05,0.38,10.49492951,498.0,0.36,1390.0,2.22,78.6,417.0,290.0,153.0,18.8,83.7,5.71,1.95,7.92,9.54
icr033392,True,0.154,0.149,38.74322273,529.186,0.68,6898.32,0.7859999999999999,30.19,586.9,287.9,210.9,85.39,16.463,18.09,1.99,8.789,15.538
icr033851,True,0.381,0.092,36.8985092,810.9860000000001,1.258,4898.32,4.587,40.17,1311.0,1068.0,227.2,52.33,3.2,20.11,0.954,7.867000000000001,71.075
icr037418,True,0.01,1.2,1.5071627630000002,1281.0,0.095,128.1,0.298,53.34,19.741,88.43,7.419,19.63,0.955,4.277,0.299,5.079,120.448
icr037699,True,0.023,0.987,4.674956627,1250.0,0.124,574.6,0.753,59.87,78.381,185.8,108.7,15.17,0.917,7.285,0.203,5.061,170.65900000000005
icr037807,True,0.198,1.632,5.913801759,1411.0,0.077,577.8,2.171,218.9,264.191,263.7,70.4,39.05,17.54,16.801,1.73,4.5760000000000005,158.914
icr041660,True,1.1,0.098,27.29429308,832.0,7.37,3480.0,3.0,51.1,919.0,725.0,275.0,357.0,16.1,336.0,0.92,7.685,73.189
icr041740,True,0.912,0.098,54.57127624,298.0,6.21,8030.0,1.46,22.9,369.0,1010.0,89.2,1180.0,9.69,70.0,0.96,8.77,54.848
icr042062,True,0.136,0.147,15.88585635,980.0,0.82,2080.0,2.61,114.0,498.0,491.0,307.0,35.5,2.65,10.6,2.87,6.115,107.788
icr042134,True,0.069,0.147,12.10923844,924.0,0.54,1650.0,3.04,198.0,412.0,329.0,279.0,19.9,7.15,7.95,4.12,5.914,91.423
icr042909,True,0.069,0.96,1.635642155,1560.0,0.071,213.0,1.25,60.4,33.1,57.0,3.45,3.43,0.95,11.7,0.41,4.84,292.0
