SSN,Public,Latitude,Longitude,Cluster,Plot,Depth,Soil material,Scientist,Site,Country,Region,Cultivated,Gid
icr025136,True,-6.8516202,34.24331284,16,7,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,599
icr068579,True,11.28065833,8.166768333,9,1,top,Pamp.9.1.Topsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1487
icr048978,True,-29.9721,22.7102,1,1,sub,Prie.1.1.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,786
icr056481,True,-16.066365,28.32649833,15,1,sub,Mong.15.1.Subsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,True,1065
icr034190,True,8.15869333,9.93064,15,1,top,Ibi.15.1.Topsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,True,655
icr030084,True,8.65487957,34.98785019,4,1,sub,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,478
icr014943,True,-15.92507167,35.34257333,11,1,top,Thu.11.1.Topsoil.Std fine soil,L.T.Desta,Thuchila,Malawi,South Africa,True,71
icr015257,True,10.91673167,-2.6396,11,1,sub,Lam.11.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,624
icr037689,True,11.32902667,-5.466885,15,6,top,Fink.15.6.Topsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1139
icr009958,True,-11.07450008,35.12540054,3,1,top,Mbi.3.1.Topsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,True,15
icr007730,True,-5.38104677,37.44506836,1,1,top,Kib.1.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,False,165
icr010078,True,-11.11730003,35.17409897,9,1,top,Mbi.9.1.Topsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,21
icr033603,True,4.14386177,38.25843048,1,1,sub,Mega.1.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,570
icr006685,True,-6.12214,36.5064,13,1,sub,Pan.13.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Pandambili,Tanzania,East Africa,False,609
icr014688,True,-11.61,34.270140000000005,15,1,top,Nkh.15.1.Topsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,108
icr068459,True,11.33028667,8.124355,3,1,top,Pamp.3.1.Topsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1475
icr056002,True,-13.08003,28.47069333,7,2,sub,Fise.7.2.Subsoil.Std fine soil,L.T.Desta,Fisenge,Zambia,South Africa,False,1018
icr055683,True,-9.1579,29.6499,7,1,top,Chil.7.1.Topsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,987
icr015753,True,5.37398667,-0.787106667,1,1,sub,Aju.1.1.Subsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,True,318
icr014408,True,-11.65983,34.21137167,1,1,top,Nkh.1.1.Topsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,94
icr006725,True,-6.07987,36.5067,15,1,sub,Pan.15.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Pandambili,Tanzania,East Africa,False,162
icr055684,True,-9.1579,29.6499,7,1,sub,Chil.7.1.Subsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,988
icr056401,True,-16.068839999999998,28.30719667,11,1,sub,Mong.11.1.Subsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1057
icr034010,True,8.12667833,9.880528332999999,6,1,top,Ibi.6.1.Topsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,639
icr073799,True,-19.42756167,28.76724667,9,1,top,Keni.9.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1770
icr048821,True,-29.8205,23.9277,6,8,sub,Hope.6.8.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1313
icr054641,True,1.456968333,31.53370833,13,3,top,Hoim.13.3.Topsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,False,968
icr011144,True,10.92799833,-3.564085,7,1,top,Bon.7.1.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,84
icr034462,True,7.03131,9.35504,11,2,sub,Kats.11.2.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,680
icr007811,True,-5.38245487,37.46924591,5,1,sub,Kib.5.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,True,174
icr041839,True,-2.61965704,39.55268478,11,1,sub,Mara.11.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1196
icr073008,True,-11.70413667,15.88675,4,1,top,Bimb.4.1.Topsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1601
icr015158,True,10.87777,-2.6616883330000003,6,1,sub,Lam.6.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,619
icr030512,True,9.56637478,42.73178101,13,1,sub,,Tor Vargen,Merar,Ethiopia,East Africa,,562
icr043363,True,11.92822333,-13.107235,14,1,top,Boum.14.1.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1297
